"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BOOT1,RESET1","PTS810SJK250SMTR LFS","https://eu.mouser.com/ProductDetail/CK/PTS810SJK250SMTR-LFS?qs=Imq1NPwxi77Ow0tzRIznfA%3D%3D","OverlordCommon:PTS810SJK250SMTRLFS","2",""
"C1,C3,C8,C9,C12,C13,C14,C15,C16,C17,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C37,C38,C39,C40,C41,C42,C43,C44,C46,C47,C48,C49,C50,C51,C52,C53","0.1uF","https://eu.mouser.com/ProductDetail/KYOCERA-AVX/08053C104KAT4A?qs=sGAEpiMZZMvsSlwiRhF8qtBfdvAGmZnkw6WJoeO38Ao%3D","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","42",""
"C2,C10,C11","10uF","https://www.mouser.se/ProductDetail/Samsung-Electro-Mechanics/CL21A106KOQNNNE?qs=349EhDEZ59qKIX0T0PKtPw%3D%3D","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C4,C5,C6,C7","1uF","https://eu.mouser.com/ProductDetail/KYOCERA-AVX/KGM21AR71E105KL?qs=Jm2GQyTW%2FbgOspZKgNqh%2Fg%3D%3D","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C54,C55,C56,C57","220uF","https://si.farnell.com/rubycon/25zl220mefc8x11-5/cap-220-f-25v-20/dp/1144699","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","4",""
"D1,D2,D3,D4,D5,D6","1N4148","https://www.mouser.se/ProductDetail/Taiwan-Semiconductor/TS4148-RBG?qs=5aG0NVq1C4zjFQ%2F0tPTeiA%3D%3D","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","6",""
"D7","TPD2E001DZDR","https://eu.mouser.com/ProductDetail/Texas-Instruments/TPD2E001DZDR?qs=6kmNHVaEmPhk6KdNbOe6jw%3D%3D","OverlordCommon:TPD2E001DZDR","1",""
"DB9_IN1","5788792-2","https://eu.mouser.com/ProductDetail/TE-Connectivity/5788792-2?qs=3NVJH8%2FxV2%252Bs7E8tWduUkQ%3D%3D","OverlordCommon:5788792","1",""
"DB9_OUT1","5747844-4","https://eu.mouser.com/ProductDetail/TE-Connectivity/5747844-4?qs=x6EjVpvqMVOIOT3ErJFDOQ%3D%3D","OverlordCommon:57478444","1",""
"Dbg1,Dbg2,Dbg13,Dbg14,Dbg15,Dbg16,Dbg17,Dbg18,Dbg19,Dbg20,Dbg21,Dbg22,Dbg23,Dbg24,Dbg25,Dbg26,Dbg27,Dbg39,Dbg40,Dbg41,Dbg42,Dbg43,Dbg44,Dbg45,Dbg46,Dbg47,Dbg48,Dbg60,Dbg61,Dbg62,Dbg63,Dbg64,Dbg65,Dbg66","Connector_Conn_01x01_Male","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","34",""
"IC1,IC2,IC3,IC4","74HC4052D,653","https://assets.nexperia.com/documents/data-sheet/74HC_HCT4052.pdf","74HC4052D653","4",""
"J1,J2,J3","39502-1011","https://www.molex.com/webdocs/datasheets/pdf/en-us/0395021011_TERMINAL_BLOCKS.pdf","OverlordCommon:SHDRRA11W80P0X350_1X11_3990X690X920P","3",""
"J4","Conn_01x12_Pin","https://www.mouser.se/ProductDetail/538-90325-0012","Connector_Molex:Molex_Picoflex_90325-0012_2x06_P1.27mm_Vertical","1",""
"J5","Conn_01x10_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1",""
"J6,J7","Conn_01x11_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","2",""
"J_CAN120R1","Conn_01x02_Male","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
